transplant_organ|diagnosis|diagnosis_description
bone marrow|A04.72|Enterocolitis due to clostridium difficile, not specified as recurrent
bone marrow|A09|Infectious gastroenteritis and colitis unspecified
bone marrow|A60.04|Herpesviral vulvovaginitis
bone marrow|B00.9|Herpesviral infection unspecified
bone marrow|B34.8|Other viral infections of unspecified site
heart,kidney|I21.9|Acute myocardial infarction, unspecified
heart,kidney|I25.2|Old myocardial infarction
kidney|D50.8|Other iron deficiency anemias
liver|R58|hemorrhage not elsewhere specified
lung|K21.00|Gastro-esophageal reflux disease with esophagitis without bleeding
